fc_elyz_capex,shed_max,dispatch,algo,srand,ret,numevals,lcoe_opt,shed_rate_opt,capex,opex,xopt_sto,xopt_pv,xopt_wind,xopt_elyz,xopt_fc,xopt_hyTank
1600.0,0.0,1,LN_SBPLX,8,XTOL_REACHED,1383,0.5860343960130889,0.0,4.043430384320455e7,1.1661396079000968e7,33973.14,16528.8,1463.72,25.24,1042.72,2148.35
1600.0,0.0,1,LN_SBPLX,9,XTOL_REACHED,1706,0.5373450408110019,0.0,3.711160811196412e7,1.0856372641176868e7,29753.24,13748.91,1876.16,27.97,983.37,2421.64
1600.0,0.0,1,LN_SBPLX,10,XTOL_REACHED,1086,0.594364285290604,0.0,4.1247150411590576e7,1.1994789884479715e7,31183.97,17070.0,1877.7,17.58,983.0,1746.38
1600.0,0.0,2,GN_CRS2_LM,1,XTOL_REACHED,15356,0.39075665201002807,0.0,2.907836596164818e7,4.8060143619308965e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_CRS2_LM,2,XTOL_REACHED,16166,0.39078144846383006,0.0,2.9053407194004253e7,4.780642138196459e6,385.1,5736.6,1877.7,1824.24,1451.58,18784.0
1600.0,0.0,2,GN_CRS2_LM,3,XTOL_REACHED,15653,0.3907566514264535,0.0,2.907836598641534e7,4.806014371159519e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_CRS2_LM,4,XTOL_REACHED,14559,0.3907566534392803,0.0,2.9078366521637004e7,4.80601463305915e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_CRS2_LM,5,XTOL_REACHED,15257,0.39080783403596375,0.0,2.9172100408417836e7,4.905453587908112e6,385.1,6283.08,1877.7,1663.74,1404.8,18374.38
1600.0,0.0,2,GN_CRS2_LM,6,XTOL_REACHED,18828,0.39075665260771436,0.0,2.9078366145299323e7,4.806014409094811e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_CRS2_LM,7,XTOL_REACHED,22965,0.39075665439279145,0.0,2.9078366104627546e7,4.8060144062574105e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_CRS2_LM,8,XTOL_REACHED,14908,0.3907566518587072,0.0,2.9078366011652827e7,4.806014383224605e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_CRS2_LM,9,XTOL_REACHED,16116,0.3907814454149465,0.0,2.9053404937254593e7,4.780640584904779e6,385.1,5736.6,1877.7,1824.24,1451.58,18784.0
1600.0,0.0,2,GN_CRS2_LM,10,XTOL_REACHED,14225,0.39075665188851066,0.0,2.9078366261164665e7,4.806014549519136e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_ISRES,1,XTOL_REACHED,69022,0.3908471887351851,0.0,2.9160275231137075e7,4.891434731234319e6,385.1,6221.3,1877.7,1679.13,1413.49,18421.74
1600.0,0.0,2,GN_ISRES,2,XTOL_REACHED,69871,0.3907824704500437,0.0,2.9054453215251558e7,4.781431587173033e6,385.1,5739.99,1877.7,1823.16,1451.49,18781.7
1600.0,0.0,2,GN_ISRES,3,XTOL_REACHED,65848,0.39079103896451406,0.0,2.9048472600643296e7,4.776624404186499e6,385.1,5718.99,1877.7,1830.5,1452.04,18794.87
1600.0,0.0,2,GN_ISRES,4,XTOL_REACHED,65225,0.39078251054201973,0.0,2.9054490589083105e7,4.781459698078226e6,385.1,5740.11,1877.7,1823.13,1451.49,18781.62
1600.0,0.0,2,GN_ISRES,5,XTOL_REACHED,64431,0.3907829287213591,0.0,2.9054901742473844e7,4.781769732292844e6,385.1,5741.44,1877.7,1822.7,1451.46,18780.72
1600.0,0.0,2,GN_ISRES,6,XTOL_REACHED,68925,0.390775482880231,0.0,2.9084708876621317e7,4.810533020863288e6,385.1,5865.61,1877.7,1781.69,1448.22,18684.18
1600.0,0.0,2,GN_ISRES,7,XTOL_REACHED,63912,0.39079197295821033,0.0,2.905043400556978e7,4.7780357723014215e6,385.1,5724.82,1877.7,1829.01,1451.89,18790.07
1600.0,0.0,2,GN_ISRES,8,XTOL_REACHED,62425,0.390757971717836,0.0,2.9078806721911397e7,4.806320179601144e6,385.1,5847.51,1877.7,1787.54,1448.69,18695.58
1600.0,0.0,2,GN_ISRES,9,XTOL_REACHED,66683,0.39075665081728145,0.0,2.9078365916708328e7,4.806014314947416e6,385.1,5846.22,1877.7,1787.92,1448.72,18696.47
1600.0,0.0,2,GN_ISRES,10,XTOL_REACHED,67153,0.3908304483067895,0.0,2.9163188289341293e7,4.896571692484472e6,385.1,6243.59,1877.7,1674.05,1410.44,18400.17
1600.0,0.0,2,LN_SBPLX,1,XTOL_REACHED,495,0.5927253914839742,0.003296340999988849,3.980495000000678e7,1.227032907864458e7,34140.0,17070.0,1877.7,0.0,0.0,0.0
1600.0,0.0,2,LN_SBPLX,2,XTOL_REACHED,2583,0.5562319562092373,0.0,3.7833322415040895e7,1.0059815537992693e7,27705.27,11644.4,1876.03,1086.53,529.86,8398.22
1600.0,0.0,2,LN_SBPLX,3,XTOL_REACHED,790,0.7773797520257468,0.0,5.604626454737257e7,1.3341490896720776e7,34131.33,16293.87,1877.7,8423.79,736.05,5020.58
1600.0,0.0,2,LN_SBPLX,4,XTOL_REACHED,1682,0.42879796422644184,0.0,3.2452942480364993e7,5.867983057269223e6,437.03,9914.84,1877.7,1188.02,1394.63,17719.81
1600.0,0.0,2,LN_SBPLX,5,XTOL_REACHED,1009,0.6280665801786496,0.0,4.1954272739665285e7,1.0206076360827649e7,34099.29,7664.94,1877.7,2004.79,2196.31,13418.21
1600.0,0.0,2,LN_SBPLX,6,XTOL_REACHED,518,0.5927285814721794,0.003296340999988849,3.9805332948668145e7,1.2270362811501889e7,34140.0,17070.0,1877.7,0.0,0.24,0.0
1600.0,0.0,2,LN_SBPLX,7,XTOL_REACHED,402,0.7047983492301938,0.0,4.806176880847318e7,1.2648488944421912e7,33617.17,17070.0,1877.7,1247.27,1957.05,6607.31
1600.0,0.0,2,LN_SBPLX,8,XTOL_REACHED,2070,0.5148043069776379,0.0,3.782880575327737e7,7.706823791555943e6,6292.93,12332.51,1877.7,2103.55,2836.55,11071.34
1600.0,0.0,2,LN_SBPLX,9,XTOL_REACHED,1617,0.619146473137705,-1.678039706419991e-20,4.381198560272911e7,1.0366737722990058e7,23347.61,17067.45,1454.21,990.48,532.08,13628.96
1600.0,0.0,2,LN_SBPLX,10,XTOL_REACHED,694,0.6389700979769658,1.266919978347093e-18,4.320029399159378e7,1.2382761929107644e7,33810.71,17070.0,1877.7,752.68,373.5,3407.88
1600.0,1.0e-5,1,GN_CRS2_LM,1,XTOL_REACHED,27534,0.4069498256872781,9.999999982937926e-6,2.9752724784118902e7,7.687637892651611e6,16925.55,8474.24,1877.7,467.65,1421.37,6506.15
1600.0,1.0e-5,1,GN_CRS2_LM,2,XTOL_REACHED,33577,0.4212844832814063,9.999997825544275e-6,3.087827579800614e7,8.054897863792992e6,15711.72,10575.28,1860.48,309.52,1369.52,5366.26
1600.0,1.0e-5,1,GN_CRS2_LM,3,XTOL_REACHED,52262,0.41240475382445213,9.999997053345858e-6,3.153580649380938e7,7.250855306408689e6,9763.45,12371.42,1494.71,559.08,1428.07,8094.24
1600.0,1.0e-5,1,GN_CRS2_LM,4,XTOL_REACHED,27103,0.42020467424529806,9.999998745791914e-6,3.1660370275609843e7,7.795152172086285e6,10900.64,12094.26,1840.49,410.88,1398.0,6368.1
1600.0,1.0e-5,1,GN_CRS2_LM,5,XTOL_REACHED,26649,0.4212846292709045,9.999983906842705e-6,3.087866680581752e7,8.055024498101122e6,15711.73,10575.28,1860.48,310.42,1369.52,5364.17
1600.0,1.0e-5,1,GN_CRS2_LM,6,XTOL_REACHED,31949,0.40694982477966957,9.999998873439295e-6,2.9752724665489435e7,7.687637858954345e6,16925.55,8474.24,1877.7,467.65,1421.37,6506.15
1600.0,1.0e-5,1,GN_CRS2_LM,7,XTOL_REACHED,22780,0.4069498269710616,9.99999885361923e-6,2.9752724758553628e7,7.6876378977195965e6,16925.55,8474.24,1877.7,467.65,1421.37,6506.15
1600.0,1.0e-5,1,GN_CRS2_LM,8,XTOL_REACHED,55790,0.4629073280476082,9.999996743265717e-6,3.522536041756677e7,8.321796303523466e6,10166.79,16000.42,1506.95,366.94,1435.33,6990.49
1600.0,1.0e-5,1,GN_CRS2_LM,9,XTOL_REACHED,35955,0.4219683361386717,9.999962754577648e-6,3.114451737721235e7,8.024421126218679e6,14466.28,11033.37,1868.9,309.81,1398.0,5517.73
